PathwayName	PathwayID
Cytosolic tRNA aminoacylation	REACT:R-HSA-379716
DAG and IP3 signaling	REACT:R-HSA-1489509
DAP12 interactions	REACT:R-HSA-2172127
DAP12 signaling	REACT:R-HSA-2424491
D-Arginine and D-ornithine metabolism	KEGG:hsa00472
DARPP-32 events	REACT:R-HSA-180024
DCC mediated attractive signaling	REACT:R-HSA-418885
Deactivation of the beta-catenin transactivating complex	REACT:R-HSA-3769402
Deadenylation-dependent mRNA decay	REACT:R-HSA-429914
Deadenylation of mRNA	REACT:R-HSA-429947
Death Receptor Signalling	REACT:R-HSA-73887
Decapping complex	KEGG:hsa_M00395
Dectin-1 mediated noncanonical NF-kB signaling	REACT:R-HSA-5607761
Dectin-2 family	REACT:R-HSA-5621480
Defective ABCA12 causes autosomal recessive congenital ichthyosis type 4B	REACT:R-HSA-5682294
Defective ABCA1 causes Tangier disease	REACT:R-HSA-5682113
Defective ABCA3 causes pulmonary surfactant metabolism dysfunction 3 (SMDP3)	REACT:R-HSA-5688399
Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3)	REACT:R-HSA-5683678
Defective ABCB11 causes progressive familial intrahepatic cholestasis 2 and benign recurrent intrahepatic cholestasis 2	REACT:R-HSA-5678520
Defective ABCB4 causes progressive familial intrahepatic cholestasis 3, intrahepatic cholestasis of pregnancy 3 and gallbladder disease 1	REACT:R-HSA-5678771
Defective ABCB6 causes isolated colobomatous microphthalmia 7 (MCOPCB7)	REACT:R-HSA-5683371
Defective ABCC2 causes Dubin-Johnson syndrome	REACT:R-HSA-5679001
Defective ABCC6 causes pseudoxanthoma elasticum (PXE)	REACT:R-HSA-5690338
Defective ABCC8 can cause hypoglycemias and hyperglycemias	REACT:R-HSA-5683177
Defective ABCC9 causes dilated cardiomyopathy 10, familial atrial fibrillation 12 and hypertrichotic osteochondrodysplasia	REACT:R-HSA-5678420
Defective ABCD1 causes adrenoleukodystrophy (ALD)	REACT:R-HSA-5684045
Defective ABCD4 causes methylmalonic aciduria and homocystinuria, cblj type (MAHCJ)	REACT:R-HSA-5683329
Defective ABCG5 causes sitosterolemia	REACT:R-HSA-5679096
Defective ABCG8 causes gallbladder disease 4 and sitosterolemia	REACT:R-HSA-5679090
Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)	REACT:R-HSA-5579031
Defective ACY1 causes encephalopathy	REACT:R-HSA-5579007
Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD)	REACT:R-HSA-5578997
Defective ALG11 causes ALG11-CDG (CDG-1p)	REACT:R-HSA-4551295
Defective ALG12 causes ALG12-CDG (CDG-1g)	REACT:R-HSA-4720489
Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)	REACT:R-HSA-5633231
Defective ALG1 causes ALG1-CDG (CDG-1k)	REACT:R-HSA-4549380
Defective ALG2 causes ALG2-CDG (CDG-1i)	REACT:R-HSA-4549349
Defective ALG3 causes ALG3-CDG (CDG-1d)	REACT:R-HSA-4720475
Defective ALG6 causes ALG6-CDG (CDG-1c)	REACT:R-HSA-4724289
Defective ALG8 causes ALG8-CDG (CDG-1h)	REACT:R-HSA-4724325
Defective ALG9 causes ALG9-CDG (CDG-1l)	REACT:R-HSA-4720454
Defective AMN causes hereditary megaloblastic anemia 1	REACT:R-HSA-3359462
Defective AVP causes neurohypophyseal diabetes insipidus (NDI)	REACT:R-HSA-5619099
Defective B3GALT6 causes EDSP2 and SEMDJL1	REACT:R-HSA-4420332
Defective B3GALTL causes Peters-plus syndrome (PpS)	REACT:R-HSA-5083635
Defective B3GAT3 causes JDSSDHD	REACT:R-HSA-3560801
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)	REACT:R-HSA-3656244
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)	REACT:R-HSA-4793953
Defective B4GALT7 causes EDS, progeroid type	REACT:R-HSA-3560783
Defective BTD causes biotidinase deficiency	REACT:R-HSA-3371598
Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)	REACT:R-HSA-5083632
Defective CD320 causes methylmalonic aciduria	REACT:R-HSA-3359485
Defective CFTR causes cystic fibrosis	REACT:R-HSA-5678895
Defective CHST14 causes EDS, musculocontractural type	REACT:R-HSA-3595174
Defective CHST3 causes SEDCJD	REACT:R-HSA-3595172
Defective CHST6 causes MCDC1	REACT:R-HSA-3656225
Defective CHSY1 causes TPBS	REACT:R-HSA-3595177
Defective CP causes aceruloplasminemia (ACERULOP)	REACT:R-HSA-5619060
Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4)	REACT:R-HSA-5688890
Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5)	REACT:R-HSA-5688849
Defective CUBN causes hereditary megaloblastic anemia 1	REACT:R-HSA-3359463
Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)	REACT:R-HSA-5579026
Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)	REACT:R-HSA-5579017
Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)	REACT:R-HSA-5579009
Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)	REACT:R-HSA-5579028
Defective CYP19A1 causes Aromatase excess syndrome (AEXS)	REACT:R-HSA-5579030
Defective CYP1B1 causes Glaucoma	REACT:R-HSA-5579000
Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)	REACT:R-HSA-5579021
Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)	REACT:R-HSA-5579010
Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)	REACT:R-HSA-5579015
Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)	REACT:R-HSA-5579004
Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)	REACT:R-HSA-5578996
Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)	REACT:R-HSA-5579014
Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)	REACT:R-HSA-5579027
Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)	REACT:R-HSA-5579011
Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)	REACT:R-HSA-5579005
Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)	REACT:R-HSA-5579013
Defective DHDDS causes retinitis pigmentosa 59	REACT:R-HSA-4755609
Defective DOLK causes DOLK-CDG (CDG-1m)	REACT:R-HSA-4755583
Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2	REACT:R-HSA-4549356
Defective DPM1 causes DPM1-CDG (CDG-1e)	REACT:R-HSA-4717374
Defective DPM2 causes DPM2-CDG (CDG-1u)	REACT:R-HSA-4719377
Defective DPM3 causes DPM3-CDG (CDG-1o)	REACT:R-HSA-4719360
Defective EXT1 causes exostoses 1, TRPS2 and CHDS	REACT:R-HSA-3656253
Defective EXT2 causes exostoses 2	REACT:R-HSA-3656237
Defective FMO3 causes Trimethylaminuria (TMAU)	REACT:R-HSA-5579019
Defective GALE can cause Epimerase-deficiency galactosemia (EDG)	REACT:R-HSA-5609977
Defective GALK1 can cause Galactosemia II (GALCT2)	REACT:R-HSA-5609976
Defective GALNT12 causes colorectal cancer 1 (CRCS1)	REACT:R-HSA-5083636
Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)	REACT:R-HSA-5083625
Defective GALT can cause Galactosemia	REACT:R-HSA-5609978
Defective GCK causes maturity-onset diabetes of the young 2 (MODY2)	REACT:R-HSA-5619073
Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)	REACT:R-HSA-5578999
Defective GFPT1 causes CMSTA1	REACT:R-HSA-4085023
Defective GGT1 causes Glutathionuria (GLUTH)	REACT:R-HSA-5579022
Defective GIF causes intrinsic factor deficiency	REACT:R-HSA-3359457
Defective GNE causes sialuria, Nonaka myopathy and inclusion body myopathy 2	REACT:R-HSA-4085011
Defective GSS causes Glutathione synthetase deficiency (GSS deficiency)	REACT:R-HSA-5579006
Defective HK1 causes hexokinase deficiency (HK deficiency)	REACT:R-HSA-5619056
Defective HLCS causes multiple carboxylase deficiency	REACT:R-HSA-3371599
Defective LARGE causes MDDGA6 and MDDGB6	REACT:R-HSA-5083627
Defective LFNG causes SCDO3	REACT:R-HSA-5083630
Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF	REACT:R-HSA-3359458
Defective MAN1B1 causes MRT15	REACT:R-HSA-4793950
Defective MAOA causes Brunner syndrome (BRUNS)	REACT:R-HSA-5579012
Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD)	REACT:R-HSA-5579024
Defective MGAT2 causes MGAT2-CDG (CDG-2a)	REACT:R-HSA-4793952
Defective MMAA causes methylmalonic aciduria type cblA	REACT:R-HSA-3359475
Defective MMAB causes methylmalonic aciduria type cblB	REACT:R-HSA-3359471
Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC	REACT:R-HSA-3359474
Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD	REACT:R-HSA-3359473
Defective MOGS causes MOGS-CDG (CDG-2b)	REACT:R-HSA-4793954
Defective MPDU1 causes MPDU1-CDG (CDG-1f)	REACT:R-HSA-4687000
Defective MPI causes MPI-CDG (CDG-1b)	REACT:R-HSA-4043916
Defective MTR causes methylmalonic aciduria and homocystinuria type cblG	REACT:R-HSA-3359469
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE	REACT:R-HSA-3359467
Defective MUT causes methylmalonic aciduria mut type	REACT:R-HSA-3359478
Defective NEU1 causes sialidosis	REACT:R-HSA-4341670
Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD)	REACT:R-HSA-5578998
Defective PAPSS2 causes SEMD-PA	REACT:R-HSA-3560796
Defective PGM1 causes PGM1-CDG (CDG1t)	REACT:R-HSA-5609974
Defective PMM2 causes PMM2-CDG (CDG-1a)	REACT:R-HSA-4043911
Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3	REACT:R-HSA-5083628
Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1	REACT:R-HSA-5083633
Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2	REACT:R-HSA-5083629
Defective pro-SFTPB causes pulmonary surfactant metabolism dysfunction 1 (SMDP1) and respiratory distress syndrome (RDS)	REACT:R-HSA-5688031
Defective pro-SFTPC causes pulmonary surfactant metabolism dysfunction 2 (SMDP2) and respiratory distress syndrome (RDS)	REACT:R-HSA-5688354
Defective RFT1 causes RFT1-CDG (CDG-1n)	REACT:R-HSA-4570571
Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN)	REACT:R-HSA-5619042
Defective SFTPA2 causes idiopathic pulmonary fibrosis (IPF)	REACT:R-HSA-5687868
Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)	REACT:R-HSA-5619048
Defective SLC12A1 causes Bartter syndrome 1 (BS1)	REACT:R-HSA-5619104
Defective SLC12A3 causes Gitelman syndrome (GS)	REACT:R-HSA-5619087
Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)	REACT:R-HSA-5619039
Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)	REACT:R-HSA-5619070
Defective SLC17A5 causes Salla disease (SD) and ISSD	REACT:R-HSA-5619035
Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)	REACT:R-HSA-5619076
Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA)	REACT:R-HSA-5619067
Defective SLC1A3 causes episodic ataxia 6 (EA6)	REACT:R-HSA-5619062
Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)	REACT:R-HSA-5619111
Defective SLC22A12 causes renal hypouricemia 1 (RHUC1)	REACT:R-HSA-5619071
Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)	REACT:R-HSA-5619066
Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP)	REACT:R-HSA-5619053
Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D)	REACT:R-HSA-5619077
Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)	REACT:R-HSA-5619055
Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6)	REACT:R-HSA-5619036
Defective SLC26A2 causes chondrodysplasias	REACT:R-HSA-3560792
Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)	REACT:R-HSA-5619085
Defective SLC26A4 causes Pendred syndrome (PDS)	REACT:R-HSA-5619046
Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)	REACT:R-HSA-5619108
Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)	REACT:R-HSA-5619063
Defective SLC2A10 causes arterial tortuosity syndrome (ATS)	REACT:R-HSA-5619068
Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1)	REACT:R-HSA-5619043
Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS)	REACT:R-HSA-5619098
Defective SLC2A9 causes hypouricemia renal 2 (RHUC2)	REACT:R-HSA-5619047
Defective SLC33A1 causes spastic paraplegia 42 (SPG42)	REACT:R-HSA-5619061
Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1)	REACT:R-HSA-5619040
Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)	REACT:R-HSA-5619045
Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)	REACT:R-HSA-5687583
Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH)	REACT:R-HSA-5619097
Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)	REACT:R-HSA-5619037
Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)	REACT:R-HSA-5663020
Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M)	REACT:R-HSA-5619072
Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)	REACT:R-HSA-5619083
Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C)	REACT:R-HSA-5619078
Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD)	REACT:R-HSA-5579020
Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG)	REACT:R-HSA-5619041
Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)	REACT:R-HSA-5619088
Defective SLC3A1 causes cystinuria (CSNU)	REACT:R-HSA-5619113
Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum)	REACT:R-HSA-5655799
Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages)	REACT:R-HSA-5619049
Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)	REACT:R-HSA-5619050
Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)	REACT:R-HSA-5619054
Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM)	REACT:R-HSA-5656364
Defective SLC5A2 causes renal glucosuria (GLYS1)	REACT:R-HSA-5658208
Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1)	REACT:R-HSA-5619096
Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)	REACT:R-HSA-5619114
Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)	REACT:R-HSA-5658471
Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria	REACT:R-HSA-5619079
Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria	REACT:R-HSA-5659729
Defective SLC6A19 causes Hartnup disorder (HND)	REACT:R-HSA-5619044
Defective SLC6A19 causes Hartnup disorder (HND)	REACT:R-HSA-5659735
Defective SLC6A2 causes orthostatic intolerance (OI)	REACT:R-HSA-5619109
Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)	REACT:R-HSA-5619081
Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)	REACT:R-HSA-5660724
Defective SLC6A5 causes hyperekplexia 3 (HKPX3)	REACT:R-HSA-5619089
Defective SLC7A7 causes lysinuric protein intolerance (LPI)	REACT:R-HSA-5660862
Defective SLC7A9 causes cystinuria (CSNU)	REACT:R-HSA-5660883
Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)	REACT:R-HSA-5619092
Defective SLC9A9 causes autism 16 (AUTS16)	REACT:R-HSA-5619052
Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)	REACT:R-HSA-5619110
Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)	REACT:R-HSA-5661182
Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)	REACT:R-HSA-5619058
Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)	REACT:R-HSA-5619095
Defective SRD5A3 causes SRD5A3-CDG (CDG-1q) and KHRZ	REACT:R-HSA-4755579
Defective ST3GAL3 causes MCT12 and EIEE15	REACT:R-HSA-3656243
Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)	REACT:R-HSA-5579032
Defective TCN2 causes hereditary megaloblastic anemia	REACT:R-HSA-3359454
Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency)	REACT:R-HSA-5578995
Defective TRP may confer susceptibility towards thyroid papillary carcinoma (TPC)	REACT:R-HSA-5619107
Defective UGT1A1 causes hyperbilirubinemia	REACT:R-HSA-5579002
Defective UGT1A4 causes hyperbilirubinemia	REACT:R-HSA-5579016
Defects in biotin (Btn) metabolism	REACT:R-HSA-3323169
Defects in cobalamin (B12) metabolism	REACT:R-HSA-3296469
Defects in vitamin and cofactor metabolism	REACT:R-HSA-3296482
Defensins	REACT:R-HSA-1461973
Degradation of AXIN	REACT:R-HSA-4641257
Degradation of beta-catenin by the destruction complex	REACT:R-HSA-195253
Degradation of cysteine and homocysteine	REACT:R-HSA-1614558
Degradation of DVL	REACT:R-HSA-4641258
Degradation of GABA	REACT:R-HSA-916853
Degradation of GLI1 by the proteasome	REACT:R-HSA-5610780
Degradation of GLI2 by the proteasome	REACT:R-HSA-5610783
Degradation of the extracellular matrix	REACT:R-HSA-1474228
Deletions in the AMER1 gene destabilize the destruction complex	REACT:R-HSA-5467343
Deletions in the AXIN genes in hepatocellular carcinoma result in elevated WNT signaling	REACT:R-HSA-5467345
Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels	REACT:R-HSA-112308
Depolymerisation of the Nuclear Lamina	REACT:R-HSA-4419969
Deposition of new CENPA-containing nucleosomes at the centromere	REACT:R-HSA-606279
Depurination	REACT:R-HSA-73927
Depyrimidination	REACT:R-HSA-73928
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	REACT:R-HSA-8862803
Dermatan sulfate biosynthesis	REACT:R-HSA-2022923
Dermatan sulfate degradation	KEGG:hsa_M00076
Detoxification of Reactive Oxygen Species	REACT:R-HSA-3299685
Deubiquitination	REACT:R-HSA-5688426
Developmental Biology	REACT:R-HSA-1266738
DEx/H-box helicases activate type I IFN and inflammatory cytokines production	REACT:R-HSA-3134963
D-Glutamine and D-glutamate metabolism	KEGG:hsa00471
Digestion of dietary carbohydrate	REACT:R-HSA-189085
Digestion of dietary lipid	REACT:R-HSA-192456
Dilated cardiomyopathy	KEGG:hsa05414
Dimerization of procaspase-8	REACT:R-HSA-69416
Disassembly of the destruction complex and recruitment of AXIN to the membrane	REACT:R-HSA-4641262
Disease	REACT:R-HSA-1643685
Diseases associated with glycosaminoglycan metabolism	REACT:R-HSA-3560782
Diseases associated with glycosylation precursor biosynthesis	REACT:R-HSA-5609975
Diseases associated with N-glycosylation of proteins	REACT:R-HSA-3781860
Diseases associated with O-glycosylation of proteins	REACT:R-HSA-3906995
Diseases associated with surfactant metabolism	REACT:R-HSA-5687613
Diseases associated with the TLR signaling cascade	REACT:R-HSA-5602358
Diseases associated with visual transduction	REACT:R-HSA-2474795
Diseases of carbohydrate metabolism	REACT:R-HSA-5663084
Diseases of glycosylation	REACT:R-HSA-3781865
Diseases of Immune System	REACT:R-HSA-5260271
Diseases of metabolism	REACT:R-HSA-5668914
Diseases of signal transduction	REACT:R-HSA-5663202
Disinhibition of SNARE formation	REACT:R-HSA-114516
Disorders of transmembrane transporters	REACT:R-HSA-5619115
Displacement of DNA glycosylase by APEX1	REACT:R-HSA-110357
Dissolution of Fibrin Clot	REACT:R-HSA-75205
DNA Damage Bypass	REACT:R-HSA-73893
DNA damage-induced cell cycle checkpoints	KEGG:hsa_M00691
DNA Damage Recognition in GG-NER	REACT:R-HSA-5696394
DNA Damage Reversal	REACT:R-HSA-73942
DNA Damage/Telomere Stress Induced Senescence	REACT:R-HSA-2559586
DNA Double-Strand Break Repair	REACT:R-HSA-5693532
DNA Double Strand Break Response	REACT:R-HSA-5693606
DNA methylation	REACT:R-HSA-5334118
DNA-PK complex	KEGG:hsa_M00297
DNA polymerase alpha / primase complex	KEGG:hsa_M00261
DNA polymerase delta complex	KEGG:hsa_M00262
DNA polymerase epsilon complex	KEGG:hsa_M00263
DNA polymerase gamma complex	KEGG:hsa_M00294
DNA polymerase zeta  complex	KEGG:hsa_M00293
DNA Repair	REACT:R-HSA-73894
DNA replication	KEGG:hsa03030
DNA Replication	REACT:R-HSA-69306
DNA replication initiation	REACT:R-HSA-68952
DNA Replication Pre-Initiation	REACT:R-HSA-69002
DNA strand elongation	REACT:R-HSA-69190
Dopamine clearance from the synaptic cleft	REACT:R-HSA-379401
Dopamine Neurotransmitter Release Cycle	REACT:R-HSA-212676
Dopamine receptors	REACT:R-HSA-390651
Dopaminergic synapse	KEGG:hsa04728
Dorso-ventral axis formation	KEGG:hsa04320
Downregulation of ERBB2:ERBB3 signaling	REACT:R-HSA-1358803
Downregulation of ERBB2 signaling	REACT:R-HSA-8863795
Downregulation of ERBB4 signaling	REACT:R-HSA-1253288
Downregulation of SMAD2/3:SMAD4 transcriptional activity	REACT:R-HSA-2173795
Downregulation of TGF-beta receptor signaling	REACT:R-HSA-2173788
Downstream signaling events of B Cell Receptor (BCR)	REACT:R-HSA-1168372
Downstream signaling of activated FGFR1	REACT:R-HSA-5654687
Downstream signaling of activated FGFR2	REACT:R-HSA-5654696
Downstream signaling of activated FGFR3	REACT:R-HSA-5654708
Downstream signaling of activated FGFR4	REACT:R-HSA-5654716
Downstream signal transduction	REACT:R-HSA-186763
Downstream TCR signaling	REACT:R-HSA-202424
Drug metabolism - cytochrome P450	KEGG:hsa00982
Drug metabolism - other enzymes	KEGG:hsa00983
DSCAM interactions	REACT:R-HSA-376172
Dual Incision in GG-NER	REACT:R-HSA-5696400
Dual incision in TC-NER	REACT:R-HSA-6782135
E2F-enabled inhibition of pre-replication complex formation	REACT:R-HSA-113507
E2F mediated regulation of DNA replication	REACT:R-HSA-113510
E3 ubiquitin ligases ubiquitinate target proteins	REACT:R-HSA-8866654
Early Phase of HIV Life Cycle	REACT:R-HSA-162594
ECM proteoglycans	REACT:R-HSA-3000178
ECM-receptor interaction	KEGG:hsa04512
ECS complex	KEGG:hsa_M00388
ECV complex	KEGG:hsa_M00383
Effects of PIP2 hydrolysis	REACT:R-HSA-114508
EGFR downregulation	REACT:R-HSA-182971
EGFR interacts with phospholipase C-gamma	REACT:R-HSA-212718
EGFR Transactivation by Gastrin	REACT:R-HSA-2179392
EGFR tyrosine kinase inhibitor resistance	KEGG:hsa01521
Eicosanoid ligand-binding receptors	REACT:R-HSA-391903
Eicosanoids	REACT:R-HSA-211979
eIF4F complex	KEGG:hsa_M00428
Elastic fibre formation	REACT:R-HSA-1566948
Electric Transmission Across Gap Junctions	REACT:R-HSA-112303
Electron transport from NADPH to Ferredoxin	REACT:R-HSA-2395516
Elevation of cytosolic Ca2+ levels	REACT:R-HSA-139853
Endocrine and other factor-regulated calcium reabsorption	KEGG:hsa04961
Endocrine resistance	KEGG:hsa01522
Endocytosis	KEGG:hsa04144
Endogenous sterols	REACT:R-HSA-211976
Endometrial cancer	KEGG:hsa05213
Endosomal Sorting Complex Required For Transport (ESCRT)	REACT:R-HSA-917729
Endosomal/Vacuolar pathway	REACT:R-HSA-1236977
Energy dependent regulation of mTOR by LKB1-AMPK	REACT:R-HSA-380972
eNOS activation	REACT:R-HSA-203615
eNOS activation and regulation	REACT:R-HSA-203765
Entry of Influenza Virion into Host Cell via Endocytosis	REACT:R-HSA-168275
Enzymatic degradation of dopamine by COMT	REACT:R-HSA-379397
Enzymatic degradation of Dopamine by monoamine oxidase	REACT:R-HSA-379398
EPHA-mediated growth cone collapse	REACT:R-HSA-3928663
EPHB-mediated forward signaling	REACT:R-HSA-3928662
EPH-ephrin mediated repulsion of cells	REACT:R-HSA-3928665
EPH-Ephrin signaling	REACT:R-HSA-2682334
Ephrin signaling	REACT:R-HSA-3928664
Epigenetic regulation of gene expression	REACT:R-HSA-212165
Epithelial cell signaling in Helicobacter pylori infection	KEGG:hsa05120
Epstein-Barr virus infection	KEGG:hsa05169
ERBB2 Activates PTK6 Signaling	REACT:R-HSA-8847993
ERBB2 Regulates Cell Motility	REACT:R-HSA-6785631
ErbB signaling pathway	KEGG:hsa04012
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	REACT:R-HSA-427389
ERK/MAPK targets	REACT:R-HSA-198753
ERKs are inactivated	REACT:R-HSA-202670
ER-Phagosome pathway	REACT:R-HSA-1236974
ER Quality Control Compartment (ERQC)	REACT:R-HSA-901032
ER to Golgi Anterograde Transport	REACT:R-HSA-199977
Erythrocytes take up carbon dioxide and release oxygen	REACT:R-HSA-1237044
Erythrocytes take up oxygen and release carbon dioxide	REACT:R-HSA-1247673
ESCRT-0 complex	KEGG:hsa_M00408
ESCRT-I complex	KEGG:hsa_M00409
ESCRT-II complex	KEGG:hsa_M00410
ESCRT-III complex	KEGG:hsa_M00412
Essential fructosuria	REACT:R-HSA-5657562
Essential pentosuria	REACT:R-HSA-5662853
Establishment of Sister Chromatid Cohesion	REACT:R-HSA-2468052
Estrogen biosynthesis	REACT:R-HSA-193144
Estrogen signaling pathway	KEGG:hsa04915
Ethanol oxidation	REACT:R-HSA-71384
Ether lipid metabolism	KEGG:hsa00565
Eukaryotic Translation Elongation	REACT:R-HSA-156842
Eukaryotic Translation Initiation	REACT:R-HSA-72613
Eukaryotic Translation Termination	REACT:R-HSA-72764
Exon junction complex (EJC)	KEGG:hsa_M00430
Exosome, archaea	KEGG:hsa_M00390
Exosome, eukaryotes	KEGG:hsa_M00391
Export of Viral Ribonucleoproteins from Nucleus	REACT:R-HSA-168274
Extension of Telomeres	REACT:R-HSA-180786
Extracellular matrix organization	REACT:R-HSA-1474244
Extrinsic Pathway of Fibrin Clot Formation	REACT:R-HSA-140834
Facilitative Na+-independent glucose transporters	REACT:R-HSA-428790
FA core complex	KEGG:hsa_M00413
Factors involved in megakaryocyte development and platelet production	REACT:R-HSA-983231
Fanconi anemia pathway	KEGG:hsa03460
Fanconi Anemia Pathway	REACT:R-HSA-6783310
FasL/ CD95L signaling	REACT:R-HSA-75157
Fat digestion and absorption	KEGG:hsa04975
Fatty acid biosynthesis	KEGG:hsa00061
Fatty acid biosynthesis, elongation	KEGG:hsa_M00083
Fatty acid biosynthesis, elongation, endoplasmic reticulum	KEGG:hsa_M00415
Fatty acid biosynthesis, elongation, mitochondria	KEGG:hsa_M00085
