Cluster ID	Gene List	Gene Count
Case_1-C1	RNASE4,RASGRP1,CALHM2,PLA2G15,MAFB,PTPRM,ANPEP,RBM34,F13A1,CFH,BATF,JAML,HSPA9,THEMIS2,STARD8,LPIN1,PHGDH,CRACR2B,TNIP3,UCP2,ADGRE1,BHLHE40,CD81,FOLR2,PYCARD,RASSF2,ADRB2,LYVE1,MFHAS1,PLSCR1,RFTN1,RPS21,MYLIP,ADAMTSL4,CD200,ARL11,FOXP1,LIF,ARSG,ARHGAP19,DCSTAMP,CLEC7A,PSAT1,GPX3,CD109,CD9,TSC22D3,RCSD1,AGTRAP,ALDH18A1,CASP7,PTGS2,INHBA,MEX3C,CD44,C4B,ZBTB16,VCAM1,SELENOP,MAGED1,CXCR4,SLC7A11,CNR2,PTAFR,GPR137B,MMP8,SELL,CD302,LY86,CHAMP1,KDM5D,C1QC,CFB,CXCL13,GAS6,ORAI2,PPBP,DMAC2,CD36,CCL8,VIM,P2RY14,NRP1,FLVCR1,ASNS,PROS1,EGR3,SPIC,LIPG,ALCAM,NT5E,CD300E,G3BP1,CD163,SERPINB2,ECM1,FGD2,IL18BP,GPR171,SEMA4D,MERTK,CEACAM1,MRC1,TGFB2,EVL,DUSP4,RPS14,CSF1R,SGMS2,LYPLAL1,PMP22,CXCL3,SIGLEC1,CCL5,IL1B,BMF,TREM2,HPGDS,C1QA,NECTIN1,SLPI,VGLL4,IL1A,MYADM,SCARF1,ITGB3,PCYOX1,HSBP1,CXCL9,PLXND1,SLC7A5,IL1RN,MDM1,RXRA	134
Case_1-C2	IL1B,C1QA,EVL,LY86,GPR34,CD44,C1QC,CXCL13,CD300E,PPBP,DCSTAMP,CSF1R,PECAM1,JAML,SERPINB2,MTUS1,CXCL3,SIGLEC1,EMILIN1,VIM,CXCL9,CXCR4,GPR171,TNIP3,CD200,CD81,CEACAM1,SELL	28
Case_1-C3	FOXP1,CD80,LY86,CXCL13,ZDHHC13,PPBP,WDFY1,CLEC7A,PTPN22,CD36,NEK6,TLR8,VIM,ZC3HAV1,TNIP3,CASP7,CD300A,CD55,IL1B,TREM2,TIFAB,CD180,SLPI,IL1A,MALT1,PYCARD,C4B,LPAR1,RHOH,CD300LF,F2R,TRAF1,MFHAS1,ECM1,CXCL9,CD200,MMP8,PIK3R1	38
Case_1-C4	CASP12,GPR34,CXCL13,GAS6,PTPN22,BATF,CFH,CD36,CSF3R,CCL8,EREG,TGFB3,MALT1,CD300E,PYCARD,TNFAIP8L2,G3BP1,CD300LF,ADRB2,TRAF1,PLSCR1,RFTN1,SDC1,IL18BP,ITGAX,MERTK,CD200,CEACAM1,PIK3R1,TGFB2,FOXP1,LIF,LIFR,CD80,APOE,DUSP4,CSF1R,CLEC7A,SCAMP5,IL7R,PECAM1,IL1RL2,SIGLEC1,TLR8,CLIC4,TSC22D3,CCL5,CD300A,IL1B,PTGS2,TREM2,LAT,MEX3C,CD44,SLPI,IL1A,SELL,ITGB3,F2R,CPT1A,CXCL9,IFNGR1,SLC7A5,FADS1,IL1RN,STX11	66
Case_1-C5	CD302,LY86,CFB,C1QC,GAS6,PPBP,DCSTAMP,CLEC7A,PECAM1,CD36,CXCL3,SIGLEC1,CLIC4,TNIP3,CD300A,SPIC,IL1B,TREM2,C1QA,CD44,CD300E,PYCARD,ITGAV,C4B,CD300LF,SERPINB2,ITGB3,SCARF1,PLSCR1,CXCL9,CXCR4,GPR171,ITGAX,MERTK,MMP8,CEACAM1	36
Case_1-C6	IL1B,CD36,CD300LF,PTGS2,S100A1,PIK3CB,APOE,SNTA1,FADS1,CLEC7A,PECAM1	11
Case_1-C7	LIF,CXCL13,PPBP,CSF1R,PTPN22,CFH,CD36,CELA1,CCL8,SIGLEC1,TLR8,EREG,CASP7,CCL5,CD300A,IL1B,TREM2,HPGDS,LAT,FOLR2,CD44,IL1A,CD300E,F11R,PYCARD,TNFAIP8L2,F2R,TBXAS1,VCAM1,MFHAS1,PLSCR1,CPT1A,CXCL9,CXCR4,GGT5,PTAFR,IL1RN,MMP8,PLIN2	39
Case_1-C8	IL1B,ITGB3,SELL,MMP13,CD44,ANGPTL4,IL1A,CLIC4,NRP1,F11R,NOTCH1,IFNGR1	12
Case_1-C9	RXRA,SCARF1,CD302,APOE,SLC7A11,MALT1,NRP1,F11R,CLEC7A,PTPN22,SELL	11
